p_brand,p_type,p_size,supplier_count
Brand#23,LARGE ANODIZED STEEL,36,8
Brand#23,LARGE BRUSHED BRASS,9,8
Brand#23,LARGE BRUSHED NICKEL,3,8
Brand#23,LARGE BRUSHED NICKEL,45,8
Brand#23,LARGE BURNISHED COPPER,3,8
Brand#23,LARGE BURNISHED COPPER,9,8
Brand#23,LARGE BURNISHED NICKEL,9,8
Brand#23,LARGE BURNISHED NICKEL,19,8
Brand#23,LARGE BURNISHED STEEL,3,8
Brand#23,LARGE BURNISHED STEEL,9,8
Brand#23,LARGE BURNISHED STEEL,14,8
Brand#23,LARGE BURNISHED STEEL,49,8
Brand#23,LARGE PLATED BRASS,3,8
Brand#23,LARGE PLATED BRASS,9,8
Brand#23,LARGE PLATED BRASS,14,8
Brand#23,LARGE PLATED COPPER,19,8
Brand#23,LARGE PLATED NICKEL,23,8
Brand#23,LARGE PLATED NICKEL,49,8
Brand#23,LARGE PLATED STEEL,3,8
Brand#23,LARGE PLATED STEEL,14,8
Brand#23,LARGE PLATED STEEL,45,8
Brand#23,LARGE POLISHED NICKEL,3,8
Brand#23,LARGE POLISHED NICKEL,49,8
Brand#23,LARGE POLISHED TIN,9,8
Brand#23,LARGE POLISHED TIN,14,8
Brand#23,LARGE POLISHED TIN,36,8
Brand#23,LARGE POLISHED TIN,49,8
Brand#23,MEDIUM ANODIZED COPPER,45,8
Brand#23,MEDIUM ANODIZED NICKEL,3,8
Brand#23,MEDIUM ANODIZED NICKEL,14,8
Brand#23,MEDIUM ANODIZED STEEL,3,8
Brand#23,MEDIUM ANODIZED STEEL,19,8
Brand#23,MEDIUM ANODIZED STEEL,49,8
Brand#23,MEDIUM ANODIZED TIN,14,8
Brand#23,MEDIUM ANODIZED TIN,23,8
Brand#23,MEDIUM ANODIZED TIN,45,8
Brand#23,MEDIUM BRUSHED BRASS,45,8
Brand#23,MEDIUM BRUSHED COPPER,19,8
Brand#23,MEDIUM BRUSHED COPPER,23,8
Brand#23,MEDIUM BRUSHED NICKEL,3,8
Brand#23,MEDIUM BRUSHED NICKEL,14,8
Brand#23,MEDIUM BRUSHED TIN,14,8
Brand#23,MEDIUM BRUSHED TIN,45,8
Brand#23,MEDIUM BURNISHED BRASS,3,8
Brand#23,MEDIUM BURNISHED BRASS,9,8
Brand#23,MEDIUM BURNISHED BRASS,14,8
Brand#23,MEDIUM BURNISHED COPPER,14,8
Brand#23,MEDIUM BURNISHED COPPER,23,8
Brand#23,MEDIUM BURNISHED COPPER,36,8
Brand#23,MEDIUM BURNISHED STEEL,9,8
Brand#23,MEDIUM BURNISHED STEEL,14,8
Brand#23,MEDIUM BURNISHED TIN,9,8
Brand#23,MEDIUM BURNISHED TIN,14,8
Brand#23,MEDIUM PLATED BRASS,9,8
Brand#23,MEDIUM PLATED BRASS,14,8
Brand#23,MEDIUM PLATED BRASS,19,8
Brand#23,MEDIUM PLATED NICKEL,3,8
Brand#23,MEDIUM PLATED NICKEL,9,8
Brand#23,MEDIUM PLATED NICKEL,23,8
Brand#23,MEDIUM PLATED NICKEL,36,8
Brand#23,MEDIUM PLATED STEEL,23,8
Brand#23,MEDIUM PLATED TIN,49,8
Brand#23,PROMO ANODIZED COPPER,3,8
Brand#23,PROMO ANODIZED COPPER,36,8
Brand#23,PROMO ANODIZED COPPER,45,8
Brand#23,PROMO ANODIZED NICKEL,45,8
Brand#23,PROMO ANODIZED TIN,14,8
Brand#23,PROMO BRUSHED BRASS,19,8
Brand#23,PROMO BRUSHED BRASS,36,8
Brand#23,PROMO BRUSHED COPPER,14,8
Brand#23,PROMO BRUSHED NICKEL,3,8
Brand#23,PROMO BRUSHED NICKEL,49,8
Brand#23,PROMO BRUSHED TIN,9,8
Brand#23,PROMO BRUSHED TIN,49,8
Brand#23,PROMO BURNISHED BRASS,14,8
Brand#23,PROMO BURNISHED BRASS,45,8
Brand#23,PROMO BURNISHED COPPER,49,8
Brand#23,PROMO BURNISHED NICKEL,9,8
Brand#23,PROMO BURNISHED NICKEL,23,8
Brand#23,PROMO BURNISHED STEEL,14,8
Brand#23,PROMO BURNISHED TIN,14,8
Brand#23,PROMO BURNISHED TIN,49,8
Brand#23,PROMO PLATED BRASS,14,8
Brand#23,PROMO PLATED COPPER,14,8
Brand#23,PROMO PLATED NICKEL,23,8
Brand#23,PROMO PLATED NICKEL,45,8
Brand#23,PROMO PLATED STEEL,3,8
Brand#23,PROMO PLATED STEEL,49,8
Brand#23,PROMO PLATED TIN,3,8
Brand#23,PROMO PLATED TIN,23,8
Brand#23,PROMO PLATED TIN,36,8
Brand#23,PROMO PLATED TIN,45,8
