p_brand,p_type,p_size,supplier_count
Brand#21,PROMO ANODIZED STEEL,9,8
Brand#21,PROMO ANODIZED TIN,23,8
Brand#21,PROMO BRUSHED BRASS,23,8
Brand#21,PROMO BRUSHED BRASS,45,8
Brand#21,PROMO BRUSHED BRASS,49,8
Brand#21,PROMO BRUSHED NICKEL,45,8
Brand#21,PROMO BRUSHED STEEL,23,8
Brand#21,PROMO BURNISHED BRASS,19,8
Brand#21,PROMO BURNISHED BRASS,23,8
Brand#21,PROMO BURNISHED COPPER,9,8
Brand#21,PROMO BURNISHED COPPER,49,8
Brand#21,PROMO BURNISHED NICKEL,19,8
Brand#21,PROMO BURNISHED NICKEL,23,8
Brand#21,PROMO BURNISHED STEEL,23,8
Brand#21,PROMO PLATED BRASS,14,8
Brand#21,PROMO PLATED BRASS,23,8
Brand#21,PROMO PLATED COPPER,3,8
Brand#21,PROMO PLATED NICKEL,3,8
Brand#21,PROMO PLATED STEEL,9,8
Brand#21,PROMO PLATED STEEL,23,8
Brand#21,PROMO PLATED STEEL,49,8
Brand#21,PROMO PLATED TIN,3,8
Brand#21,PROMO POLISHED COPPER,14,8
Brand#21,PROMO POLISHED STEEL,19,8
Brand#21,PROMO POLISHED STEEL,23,8
Brand#21,PROMO POLISHED STEEL,45,8
Brand#21,SMALL ANODIZED BRASS,45,8
Brand#21,SMALL ANODIZED COPPER,49,8
Brand#21,SMALL ANODIZED NICKEL,9,8
Brand#21,SMALL ANODIZED NICKEL,14,8
Brand#21,SMALL ANODIZED NICKEL,19,8
Brand#21,SMALL ANODIZED NICKEL,23,8
Brand#21,SMALL ANODIZED NICKEL,45,8
Brand#21,SMALL ANODIZED STEEL,49,8
Brand#21,SMALL ANODIZED TIN,9,8
Brand#21,SMALL ANODIZED TIN,14,8
Brand#21,SMALL ANODIZED TIN,19,8
Brand#21,SMALL ANODIZED TIN,36,8
Brand#21,SMALL ANODIZED TIN,49,8
Brand#21,SMALL BRUSHED BRASS,36,8
Brand#21,SMALL BRUSHED NICKEL,36,8
Brand#21,SMALL BRUSHED STEEL,14,8
Brand#21,SMALL BRUSHED TIN,45,8
Brand#21,SMALL BURNISHED BRASS,36,8
Brand#21,SMALL BURNISHED COPPER,3,8
Brand#21,SMALL BURNISHED COPPER,14,8
Brand#21,SMALL BURNISHED COPPER,19,8
Brand#21,SMALL BURNISHED COPPER,45,8
Brand#21,SMALL BURNISHED NICKEL,14,8
Brand#21,SMALL BURNISHED STEEL,49,8
Brand#21,SMALL PLATED BRASS,14,8
Brand#21,SMALL PLATED COPPER,3,8
Brand#21,SMALL PLATED COPPER,9,8
Brand#21,SMALL PLATED COPPER,45,8
Brand#21,SMALL PLATED NICKEL,3,8
Brand#21,SMALL PLATED STEEL,3,8
Brand#21,SMALL PLATED STEEL,9,8
Brand#21,SMALL PLATED TIN,19,8
Brand#21,SMALL POLISHED STEEL,36,8
Brand#21,STANDARD ANODIZED BRASS,3,8
Brand#21,STANDARD ANODIZED BRASS,36,8
Brand#21,STANDARD ANODIZED BRASS,45,8
Brand#21,STANDARD ANODIZED COPPER,23,8
Brand#21,STANDARD ANODIZED STEEL,36,8
Brand#21,STANDARD ANODIZED STEEL,49,8
Brand#21,STANDARD ANODIZED TIN,9,8
Brand#21,STANDARD ANODIZED TIN,49,8
Brand#21,STANDARD BRUSHED BRASS,14,8
Brand#21,STANDARD BRUSHED BRASS,45,8
Brand#21,STANDARD BRUSHED COPPER,23,8
Brand#21,STANDARD BRUSHED NICKEL,19,8
Brand#21,STANDARD BRUSHED STEEL,9,8
Brand#21,STANDARD BRUSHED STEEL,49,8
Brand#21,STANDARD BRUSHED TIN,23,8
Brand#21,STANDARD BRUSHED TIN,36,8
Brand#21,STANDARD BRUSHED TIN,45,8
Brand#21,STANDARD BURNISHED BRASS,36,8
Brand#21,STANDARD BURNISHED COPPER,9,8
Brand#21,STANDARD BURNISHED COPPER,19,8
Brand#21,STANDARD BURNISHED NICKEL,9,8
Brand#21,STANDARD BURNISHED NICKEL,23,8
Brand#21,STANDARD BURNISHED NICKEL,45,8
Brand#21,STANDARD BURNISHED STEEL,14,8
Brand#21,STANDARD BURNISHED STEEL,36,8
Brand#21,STANDARD BURNISHED STEEL,45,8
Brand#21,STANDARD BURNISHED TIN,19,8
Brand#21,STANDARD BURNISHED TIN,36,8
