p_brand,p_type,p_size,supplier_count
Brand#22,LARGE BRUSHED COPPER,3,4
Brand#22,LARGE BRUSHED NICKEL,3,4
Brand#22,LARGE BRUSHED NICKEL,19,4
Brand#22,LARGE BRUSHED NICKEL,36,4
Brand#22,LARGE BRUSHED STEEL,9,4
Brand#22,LARGE BRUSHED STEEL,45,4
Brand#22,LARGE BRUSHED STEEL,49,4
Brand#22,LARGE BRUSHED TIN,3,4
Brand#22,LARGE BRUSHED TIN,9,4
Brand#22,LARGE BRUSHED TIN,19,4
Brand#22,LARGE BRUSHED TIN,45,4
Brand#22,LARGE BRUSHED TIN,49,4
Brand#22,LARGE BURNISHED BRASS,19,4
Brand#22,LARGE BURNISHED BRASS,45,4
Brand#22,LARGE BURNISHED BRASS,49,4
Brand#22,LARGE BURNISHED COPPER,3,4
Brand#22,LARGE BURNISHED COPPER,14,4
Brand#22,LARGE BURNISHED COPPER,36,4
Brand#22,LARGE BURNISHED COPPER,45,4
Brand#22,LARGE BURNISHED COPPER,49,4
Brand#22,LARGE BURNISHED NICKEL,14,4
Brand#22,LARGE BURNISHED STEEL,3,4
Brand#22,LARGE BURNISHED STEEL,19,4
Brand#22,LARGE BURNISHED STEEL,23,4
Brand#22,LARGE BURNISHED STEEL,45,4
Brand#22,LARGE BURNISHED TIN,9,4
Brand#22,LARGE BURNISHED TIN,14,4
Brand#22,LARGE BURNISHED TIN,49,4
Brand#22,LARGE PLATED BRASS,9,4
Brand#22,LARGE PLATED BRASS,14,4
Brand#22,LARGE PLATED BRASS,36,4
Brand#22,LARGE PLATED BRASS,49,4
Brand#22,LARGE PLATED COPPER,9,4
Brand#22,LARGE PLATED COPPER,14,4
Brand#22,LARGE PLATED COPPER,49,4
Brand#22,LARGE PLATED NICKEL,14,4
Brand#22,LARGE PLATED NICKEL,49,4
Brand#22,LARGE PLATED STEEL,3,4
Brand#22,LARGE PLATED STEEL,36,4
Brand#22,LARGE PLATED STEEL,45,4
Brand#22,LARGE PLATED STEEL,49,4
Brand#22,LARGE PLATED TIN,9,4
Brand#22,LARGE PLATED TIN,19,4
Brand#22,LARGE POLISHED BRASS,9,4
Brand#22,LARGE POLISHED BRASS,19,4
Brand#22,LARGE POLISHED COPPER,14,4
Brand#22,LARGE POLISHED COPPER,45,4
Brand#22,LARGE POLISHED NICKEL,9,4
Brand#22,LARGE POLISHED NICKEL,36,4
Brand#22,LARGE POLISHED STEEL,14,4
Brand#22,LARGE POLISHED STEEL,19,4
Brand#22,LARGE POLISHED STEEL,23,4
Brand#22,LARGE POLISHED STEEL,36,4
Brand#22,LARGE POLISHED TIN,3,4
Brand#22,LARGE POLISHED TIN,19,4
Brand#22,LARGE POLISHED TIN,23,4
Brand#22,MEDIUM ANODIZED BRASS,3,4
Brand#22,MEDIUM ANODIZED BRASS,19,4
Brand#22,MEDIUM ANODIZED BRASS,36,4
Brand#22,MEDIUM ANODIZED BRASS,45,4
Brand#22,MEDIUM ANODIZED COPPER,49,4
Brand#22,MEDIUM ANODIZED NICKEL,14,4
Brand#22,MEDIUM ANODIZED STEEL,3,4
Brand#22,MEDIUM ANODIZED STEEL,14,4
Brand#22,MEDIUM ANODIZED STEEL,45,4
Brand#22,MEDIUM ANODIZED STEEL,49,4
Brand#22,MEDIUM ANODIZED TIN,3,4
Brand#22,MEDIUM ANODIZED TIN,9,4
Brand#22,MEDIUM ANODIZED TIN,14,4
Brand#22,MEDIUM ANODIZED TIN,36,4
Brand#22,MEDIUM ANODIZED TIN,49,4
Brand#22,MEDIUM BRUSHED BRASS,3,4
Brand#22,MEDIUM BRUSHED BRASS,9,4
Brand#22,MEDIUM BRUSHED BRASS,14,4
Brand#22,MEDIUM BRUSHED BRASS,19,4
Brand#22,MEDIUM BRUSHED BRASS,23,4
Brand#22,MEDIUM BRUSHED COPPER,23,4
Brand#22,MEDIUM BRUSHED NICKEL,3,4
Brand#22,MEDIUM BRUSHED NICKEL,19,4
Brand#22,MEDIUM BRUSHED NICKEL,23,4
Brand#22,MEDIUM BRUSHED NICKEL,36,4
Brand#22,MEDIUM BRUSHED NICKEL,45,4
Brand#22,MEDIUM BRUSHED STEEL,9,4
Brand#22,MEDIUM BRUSHED TIN,9,4
Brand#22,MEDIUM BRUSHED TIN,14,4
Brand#22,MEDIUM BRUSHED TIN,19,4
Brand#22,MEDIUM BRUSHED TIN,23,4
Brand#22,MEDIUM BRUSHED TIN,45,4
Brand#22,MEDIUM BURNISHED BRASS,3,4
Brand#22,MEDIUM BURNISHED BRASS,19,4
Brand#22,MEDIUM BURNISHED BRASS,23,4
Brand#22,MEDIUM BURNISHED COPPER,3,4
Brand#22,MEDIUM BURNISHED COPPER,19,4
Brand#22,MEDIUM BURNISHED NICKEL,19,4
Brand#22,MEDIUM BURNISHED NICKEL,45,4
Brand#22,MEDIUM BURNISHED NICKEL,49,4
Brand#22,MEDIUM BURNISHED STEEL,23,4
Brand#22,MEDIUM BURNISHED STEEL,49,4
Brand#22,MEDIUM BURNISHED TIN,23,4
