p_brand,p_type,p_size,supplier_count
Brand#13,LARGE ANODIZED TIN,19,12
Brand#13,LARGE BRUSHED BRASS,3,12
Brand#13,LARGE BRUSHED COPPER,9,12
Brand#13,LARGE BRUSHED NICKEL,3,12
Brand#13,LARGE BURNISHED COPPER,45,12
Brand#13,LARGE PLATED COPPER,23,12
Brand#13,LARGE PLATED COPPER,36,12
Brand#13,LARGE PLATED NICKEL,23,12
Brand#13,LARGE PLATED NICKEL,49,12
Brand#13,LARGE PLATED STEEL,14,12
Brand#13,LARGE PLATED TIN,9,12
Brand#13,LARGE POLISHED BRASS,49,12
Brand#13,LARGE POLISHED STEEL,9,12
Brand#13,MEDIUM ANODIZED NICKEL,3,12
Brand#13,MEDIUM ANODIZED NICKEL,36,12
Brand#13,MEDIUM ANODIZED NICKEL,45,12
Brand#13,MEDIUM ANODIZED STEEL,9,12
Brand#13,MEDIUM ANODIZED STEEL,14,12
Brand#13,MEDIUM BRUSHED BRASS,9,12
Brand#13,MEDIUM BRUSHED COPPER,3,12
Brand#13,MEDIUM BRUSHED COPPER,14,12
Brand#13,MEDIUM BRUSHED STEEL,19,12
Brand#13,MEDIUM BRUSHED TIN,19,12
Brand#13,MEDIUM BURNISHED NICKEL,36,12
Brand#13,MEDIUM PLATED BRASS,9,12
Brand#13,PROMO ANODIZED COPPER,45,12
Brand#13,PROMO BRUSHED NICKEL,23,12
Brand#13,PROMO BRUSHED STEEL,45,12
Brand#13,PROMO BRUSHED TIN,3,12
Brand#13,PROMO BURNISHED BRASS,19,12
Brand#13,PROMO BURNISHED COPPER,19,12
Brand#13,PROMO BURNISHED NICKEL,3,12
Brand#13,PROMO BURNISHED NICKEL,49,12
Brand#13,PROMO PLATED COPPER,3,12
Brand#13,PROMO PLATED NICKEL,3,12
Brand#13,PROMO PLATED STEEL,45,12
Brand#13,PROMO POLISHED NICKEL,3,12
Brand#13,PROMO POLISHED STEEL,14,12
Brand#13,SMALL ANODIZED BRASS,49,12
Brand#13,SMALL ANODIZED COPPER,36,12
Brand#13,SMALL ANODIZED TIN,9,12
Brand#13,SMALL ANODIZED TIN,23,12
Brand#13,SMALL BRUSHED COPPER,14,12
Brand#13,SMALL BRUSHED COPPER,45,12
Brand#13,SMALL BURNISHED NICKEL,3,12
Brand#13,SMALL PLATED BRASS,45,12
Brand#13,SMALL PLATED NICKEL,45,12
Brand#13,SMALL PLATED TIN,14,12
Brand#13,SMALL POLISHED BRASS,49,12
Brand#13,SMALL POLISHED NICKEL,19,12
Brand#13,STANDARD BRUSHED BRASS,14,12
Brand#13,STANDARD BRUSHED COPPER,23,12
Brand#13,STANDARD BURNISHED COPPER,3,12
Brand#13,STANDARD BURNISHED COPPER,23,12
Brand#13,STANDARD BURNISHED COPPER,45,12
Brand#13,STANDARD BURNISHED STEEL,3,12
Brand#13,STANDARD BURNISHED STEEL,19,12
Brand#13,STANDARD BURNISHED TIN,23,12
Brand#13,STANDARD PLATED BRASS,14,12
Brand#13,STANDARD PLATED COPPER,45,12
Brand#13,STANDARD PLATED NICKEL,45,12
Brand#13,STANDARD PLATED STEEL,9,12
Brand#13,STANDARD POLISHED BRASS,19,12
Brand#13,STANDARD POLISHED NICKEL,19,12
Brand#14,ECONOMY ANODIZED COPPER,9,12
Brand#14,ECONOMY ANODIZED NICKEL,49,12
Brand#14,ECONOMY ANODIZED STEEL,45,12
Brand#14,ECONOMY BRUSHED BRASS,23,12
Brand#14,ECONOMY BRUSHED COPPER,19,12
Brand#14,ECONOMY BRUSHED COPPER,45,12
Brand#14,ECONOMY BRUSHED NICKEL,36,12
Brand#14,ECONOMY BRUSHED TIN,14,12
Brand#14,ECONOMY BURNISHED COPPER,9,12
Brand#14,ECONOMY BURNISHED COPPER,23,12
Brand#14,ECONOMY BURNISHED STEEL,9,12
Brand#14,ECONOMY BURNISHED STEEL,14,12
Brand#14,ECONOMY PLATED BRASS,9,12
Brand#14,ECONOMY POLISHED BRASS,19,12
Brand#14,ECONOMY POLISHED COPPER,23,12
Brand#14,ECONOMY POLISHED STEEL,45,12
Brand#14,LARGE ANODIZED COPPER,49,12
Brand#14,LARGE ANODIZED NICKEL,23,12
Brand#14,LARGE ANODIZED NICKEL,45,12
Brand#14,LARGE ANODIZED STEEL,9,12
Brand#14,LARGE BRUSHED COPPER,14,12
Brand#14,LARGE BRUSHED TIN,3,12
Brand#14,LARGE BRUSHED TIN,45,12
Brand#14,LARGE BURNISHED COPPER,49,12
Brand#14,LARGE PLATED BRASS,19,12
