p_brand,p_type,p_size,supplier_count
Brand#35,LARGE ANODIZED COPPER,49,16
Brand#35,LARGE ANODIZED NICKEL,9,16
Brand#35,LARGE BRUSHED TIN,49,16
Brand#35,LARGE BURNISHED COPPER,23,16
Brand#35,LARGE BURNISHED NICKEL,9,16
Brand#35,LARGE BURNISHED STEEL,3,16
Brand#35,LARGE PLATED COPPER,19,16
Brand#35,MEDIUM BRUSHED STEEL,23,16
Brand#35,MEDIUM PLATED NICKEL,23,16
Brand#35,PROMO BRUSHED NICKEL,19,16
Brand#35,SMALL ANODIZED BRASS,45,16
Brand#35,SMALL BRUSHED TIN,49,16
Brand#41,ECONOMY ANODIZED STEEL,49,16
Brand#41,ECONOMY PLATED STEEL,3,16
Brand#41,ECONOMY PLATED TIN,3,16
Brand#41,ECONOMY POLISHED STEEL,19,16
Brand#41,ECONOMY POLISHED STEEL,45,16
Brand#41,LARGE ANODIZED BRASS,36,16
Brand#41,LARGE BURNISHED BRASS,23,16
Brand#41,LARGE POLISHED BRASS,36,16
Brand#41,LARGE POLISHED NICKEL,3,16
Brand#41,MEDIUM BURNISHED TIN,3,16
Brand#41,MEDIUM PLATED STEEL,3,16
Brand#41,PROMO PLATED BRASS,9,16
Brand#41,PROMO PLATED STEEL,36,16
Brand#41,PROMO POLISHED STEEL,36,16
Brand#41,PROMO POLISHED TIN,19,16
Brand#41,SMALL ANODIZED COPPER,23,16
Brand#41,SMALL ANODIZED STEEL,45,16
Brand#41,SMALL BRUSHED NICKEL,45,16
Brand#41,SMALL BURNISHED NICKEL,36,16
Brand#41,SMALL POLISHED NICKEL,9,16
Brand#41,SMALL POLISHED STEEL,45,16
Brand#41,SMALL POLISHED TIN,14,16
Brand#41,STANDARD BRUSHED NICKEL,45,16
Brand#42,ECONOMY BRUSHED STEEL,14,16
Brand#42,ECONOMY BURNISHED STEEL,9,16
Brand#42,ECONOMY BURNISHED STEEL,45,16
Brand#42,LARGE ANODIZED TIN,23,16
Brand#42,LARGE BRUSHED STEEL,14,16
Brand#42,LARGE BURNISHED NICKEL,19,16
Brand#42,LARGE PLATED STEEL,45,16
Brand#42,LARGE POLISHED STEEL,14,16
Brand#42,MEDIUM ANODIZED STEEL,14,16
Brand#42,MEDIUM ANODIZED TIN,19,16
Brand#42,MEDIUM BRUSHED COPPER,9,16
Brand#42,MEDIUM BRUSHED STEEL,14,16
Brand#42,MEDIUM BURNISHED COPPER,49,16
Brand#42,MEDIUM BURNISHED NICKEL,23,16
Brand#42,MEDIUM BURNISHED TIN,49,16
Brand#42,PROMO ANODIZED NICKEL,49,16
Brand#42,PROMO ANODIZED STEEL,49,16
Brand#42,PROMO BURNISHED TIN,49,16
Brand#42,SMALL ANODIZED BRASS,23,16
Brand#42,SMALL ANODIZED NICKEL,19,16
Brand#42,SMALL ANODIZED TIN,49,16
Brand#42,SMALL PLATED COPPER,23,16
Brand#42,STANDARD ANODIZED BRASS,9,16
Brand#42,STANDARD ANODIZED NICKEL,9,16
Brand#42,STANDARD BRUSHED STEEL,49,16
Brand#42,STANDARD BRUSHED TIN,45,16
Brand#42,STANDARD PLATED TIN,23,16
Brand#43,ECONOMY BRUSHED STEEL,23,16
Brand#43,ECONOMY PLATED TIN,49,16
Brand#43,ECONOMY POLISHED TIN,14,16
Brand#43,LARGE BRUSHED COPPER,9,16
Brand#43,LARGE BURNISHED STEEL,9,16
Brand#43,LARGE PLATED BRASS,14,16
Brand#43,LARGE PLATED BRASS,19,16
Brand#43,LARGE PLATED NICKEL,45,16
Brand#43,MEDIUM ANODIZED COPPER,49,16
Brand#43,PROMO BRUSHED BRASS,36,16
Brand#43,PROMO BRUSHED STEEL,49,16
Brand#43,PROMO PLATED BRASS,45,16
Brand#43,SMALL BURNISHED COPPER,19,16
Brand#43,SMALL BURNISHED TIN,23,16
Brand#43,SMALL BURNISHED TIN,45,16
Brand#43,SMALL PLATED COPPER,23,16
Brand#43,SMALL POLISHED STEEL,19,16
Brand#43,STANDARD ANODIZED TIN,45,16
Brand#43,STANDARD PLATED BRASS,3,16
Brand#44,ECONOMY ANODIZED BRASS,45,16
Brand#44,ECONOMY BRUSHED TIN,45,16
Brand#44,ECONOMY PLATED COPPER,23,16
Brand#44,ECONOMY PLATED STEEL,3,16
Brand#44,LARGE BRUSHED BRASS,9,16
Brand#44,LARGE PLATED BRASS,49,16
